112.65,0
82.0,3
84.0,7
82.0,11
94.0,14
94.0,17
89.0,21
87.0,25
82.0,36
79.0,40
79.0,43
79.0,47
77.0,50
89.0,65
90.0,68
88.0,71
87.0,74
86.0,77
86.0,80
86.0,83
86.0,86
77.0,95
86.0,97
88.0,101
87.0,104
86.0,107
85.0,111
82.0,115
77.0,126
76.0,130
75.0,134
75.0,137
73.5,142
77.0,154
74.0,158
74.0,162
75.0,166
75.0,171
76.0,175
77.0,184
76.0,189
77.0,193
76.0,198
77.0,201
85.0,214
78.0,218
79.0,222
80.0,226
83.0,235
80.0,252
79.0,255
79.0,259
79.0,263
79.0,304
79.0,308
79.0,312
80.0,316
79.0,320
79.0,323
79.0,334
80.0,337
81.0,341
81.0,344
81.0,347
80.0,350
81.0,354
98.0,373
103.0,376
107.0,379
97.0,383
91.0,386
90.0,393
92.0,397
94.0,400
95.0,404
95.0,410
95.0,415
92.0,429
93.0,434
94.0,439
94.0,443
96.0,457
96.0,465
96.0,469
98.0,473
98.0,476
100.5,487
98.0,491
100.0,494
98.0,497
97.0,499
96.0,503
98.0,506
95.0,514
95.0,528
96.0,531
94.0,535
96.0,545
97.0,548
98.0,552
98.0,556
98.0,564
98.0,576
96.0,580
97.0,584
98.0,587
97.0,590
99.0,604
103.0,608
102.0,611
96.0,615
98.0,619
100.0,636
99.0,639
97.0,643
99.0,647
98.0,650
99.0,665
99.0,670
99.0,680
100.0,684
97.5,695
99.0,699
99.0,702
98.0,705
99.0,708
98.0,727
99.0,730
100.0,734
98.0,737
100.0,740
102.0,743
101.0,745
95.0,755
103.0,758
102.0,762
101.0,765
101.0,769
97.0,773
95.0,786
96.0,790
97.0,794
99.0,797
100.0,800
102.0,813
102.0,816
101.0,820
96.0,830
94.0,835
95.0,847
95.0,851
99.0,859
97.0,863
98.0,875
96.0,914
99.0,918
102.0,921
101.0,925
97.0,945
99.0,950
102.0,954
97.5,965
97.0,968
98.0,972
96.5,977
98.0,981
97.0,985
99.0,1002
100.0,1005
99.0,1008
98.0,1012
99.0,1016
96.0,1028
94.0,1032
96.0,1036
99.0,1040
97.0,1044
102.0,1058
102.0,1062
103.0,1067
105.0,1070
104.0,1074
98.0,1084
100.0,1087
100.0,1090
101.0,1093
102.0,1096
101.0,1098
99.0,1102
96.0,1118
94.0,1121
93.0,1125
92.0,1128
90.0,1131
88.0,1135
86.0,1144
88.0,1147
89.0,1150
92.0,1154
90.0,1158
85.0,1162
83.0,1166
81.0,1179
82.0,1183
82.0,1186
84.0,1190
84.0,1193
82.0,1212
82.0,1216
82.0,1219
81.0,1222
80.0,1226
81.0,1237
82.0,1240
85.0,1244
83.0,1247
82.0,1250
84.0,1253
87.0,1256
89.0,1270
87.0,1274
88.0,1278
93.0,1282
78.0,1307
80.0,1310
83.0,1332
81.0,1366
96.0,1384
92.0,1386
98.0,1388
113.0,1399
107.0,1400
98.0,1403
96.0,1405
96.0,1412
96.0,1414
108.0,1428
111.0,1431
113.0,1433
114.0,1435
113.0,1437
116.0,1443
118.0,1446
126.0,1457
128.0,1460
130.0,1462
131.0,1465
130.0,1481
130.0,1484
129.0,1487
130.0,1490
131.0,1493
132.0,1495
138.0,1512
138.0,1515
138.0,1518
139.0,1533
139.0,1535
140.0,1538
140.0,1540
147.0,1543
146.0,1554
147.0,1563
147.0,1565
147.0,1568
146.0,1570
148.0,1579
149.0,1582
150.0,1584
151.0,1587
140.0,1595
150.5,1598
144.0,1611
142.0,1614
141.0,1616
133.0,1624
143.0,1629
145.0,1633
137.0,1640
133.0,1647
145.0,1654
134.0,1656
136.0,1660
137.0,1662
140.0,1670
141.0,1672
143.0,1675
143.0,1677
145.0,1684
145.0,1686
146.0,1688
146.0,1697
146.0,1699
146.0,1701
146.0,1703
147.0,1706
150.5,1716
152.0,1743
151.0,1755
151.0,1757
151.0,1760
151.0,1763
151.0,1765
156.0,1782
156.0,1784
156.0,1787
156.0,1790
155.0,1792
155.0,1795
157.0,1804
154.0,1815
154.0,1820
155.0,1822
155.0,1824
156.0,1826
157.0,1833
156.0,1843
156.0,1845
157.0,1848
156.0,1850
155.0,1853
155.0,1856
157.0,1864
155.0,1866
158.0,1880
159.0,1882
159.0,1884
159.0,1886
156.0,1902
157.0,1904
156.0,1906
156.0,1909
157.0,1911
158.0,1913
158.0,1915
158.0,1917
160.0,1929
159.0,1931
160.0,1933
159.0,1937
159.0,1939
160.0,1941
159.0,1944
157.0,1946
157.0,1956
157.0,1958
157.0,1961
158.0,1963
159.0,1966
159.0,1969
159.0,1971
160.0,1983
159.0,1988
159.0,1992
160.0,1996
160.0,2007
161.0,2014
161.0,2016
160.0,2018
161.0,2020
160.0,2023
160.0,2025
160.0,2027
160.0,2029
161.0,2043
154.0,2045
161.0,2047
161.0,2049
160.0,2051
160.0,2053
160.0,2057
132.0,2104
143.0,2106
136.0,2117
135.0,2121
134.0,2123
133.0,2125
132.0,2127
133.0,2142
130.0,2145
128.0,2147
126.0,2149
124.0,2152
123.0,2154
122.0,2156
120.0,2168
120.0,2171
123.0,2175
124.0,2178
121.0,2181
108.0,2235
107.0,2238
109.0,2241
108.0,2244
108.0,2246
106.0,2268
107.5,2273
104.0,2277
104.0,2293
105.0,2295
103.0,2298
103.0,2300
104.0,2303
103.0,2306
99.0,2328
98.0,2331
