90.0,2599
91.0,2603
94.0,2617
95.0,2628
93.0,2631
94.0,2634
96.0,2644
94.0,2648
93.0,2658
95.0,2661
94.0,2664
95.0,2674
94.0,2677
93.0,2680
97.0,2690
101.0,2711
101.0,2714
96.0,2718
92.0,2721
92.0,2744
92.0,2748
92.0,2750
93.0,2753
104.0,2771
106.0,2773
113.0,2776
123.0,2781
107.0,2792
110.0,2798
125.0,2815
126.0,2817
131.0,2824
132.0,2828
133.0,2830
133.0,2834
131.0,2844
140.0,2870
142.0,2873
143.0,2883
144.0,2885
145.0,2888
145.0,2891
146.0,2894
150.0,2915
150.0,2917
150.0,2924
153.0,2973
153.0,2975
153.0,2979
153.0,2982
153.0,2984
152.0,2986
154.0,3008
155.0,3011
154.0,3014
156.0,3021
156.0,3023
160.0,3042
159.0,3045
157.0,3056
156.0,3064
158.0,3082
143.0,3105
138.0,3111
123.0,3166
117.0,3175
110.0,3228
114.0,3256
110.0,3264
103.0,3355
99.0,3429
102.0,3498
101.0,3500
102.0,3526
101.0,3544
100.0,3547
101.0,3559
99.0,3587
99.0,3590
99.0,3593
98.0,3618
96.0,3625
96.0,3640
98.0,3646
99.0,3676
97.0,3678
97.0,3712
92.0,3805
96.0,3832
96.0,3835
99.0,3857
99.0,3866
100.0,3917
126.0,3980
117.5,3995
119.0,4001
130.0,4016
135.0,4025
151.0,4059
152.0,4061
153.0,4065
153.0,4092
153.0,4094
160.0,4131
160.0,4133
163.0,4147
164.0,4155
165.0,4223
165.0,4241
167.0,4253
167.0,4254
167.0,4265
168.0,4277
168.0,4291
160.0,4304
150.0,4316
144.0,4331
135.0,4345
